RS	item	label	wd
1001	http://world.squirrel.link/ontology#district_01001	Flensburg	http://www.wikidata.org/entity/Q3798
1002	http://world.squirrel.link/ontology#district_01002	Kiel	http://www.wikidata.org/entity/Q1707
1003	http://world.squirrel.link/ontology#district_01003	Lübeck	http://www.wikidata.org/entity/Q2843
1004	http://world.squirrel.link/ontology#district_01004	Neumünster	http://www.wikidata.org/entity/Q3879
1051	http://world.squirrel.link/ontology#district_01051	Dithmarschen	http://www.wikidata.org/entity/Q2947
1053	http://world.squirrel.link/ontology#district_01053	Herzogtum Lauenburg	http://www.wikidata.org/entity/Q3000
1054	http://world.squirrel.link/ontology#district_01054	Nordfriesland	http://www.wikidata.org/entity/Q2937
1055	http://world.squirrel.link/ontology#district_01055	Ostholstein	http://www.wikidata.org/entity/Q2975
1056	http://world.squirrel.link/ontology#district_01056	Pinneberg	http://www.wikidata.org/entity/Q3006
1057	http://world.squirrel.link/ontology#district_01057	Plön	http://www.wikidata.org/entity/Q2970
1058	http://world.squirrel.link/ontology#district_01058	Rendsburg-Eckernförde	http://www.wikidata.org/entity/Q2967
1059	http://world.squirrel.link/ontology#district_01059	Schleswig-Flensburg	http://www.wikidata.org/entity/Q2941
1060	http://world.squirrel.link/ontology#district_01060	Segeberg	http://www.wikidata.org/entity/Q2980
1061	http://world.squirrel.link/ontology#district_01061	Steinburg	http://www.wikidata.org/entity/Q3011
1062	http://world.squirrel.link/ontology#district_01062	Stormarn	http://www.wikidata.org/entity/Q3003
2000	http://world.squirrel.link/ontology#district_02000	Hamburg	http://www.wikidata.org/entity/Q1055
3101	http://world.squirrel.link/ontology#district_03101	Braunschweig	http://www.wikidata.org/entity/Q2773
3102	http://world.squirrel.link/ontology#district_03102	Salzgitter	http://www.wikidata.org/entity/Q3200
3103	http://world.squirrel.link/ontology#district_03103	Wolfsburg	http://www.wikidata.org/entity/Q3014
3151	http://world.squirrel.link/ontology#district_03151	Gifhorn	http://www.wikidata.org/entity/Q6053
3153	http://world.squirrel.link/ontology#district_03153	Goslar	http://www.wikidata.org/entity/Q6040
3154	http://world.squirrel.link/ontology#district_03154	Helmstedt	http://www.wikidata.org/entity/Q6047
3155	http://world.squirrel.link/ontology#district_03155	Northeim	http://www.wikidata.org/entity/Q6018
3157	http://world.squirrel.link/ontology#district_03157	Peine	http://www.wikidata.org/entity/Q6045
3158	http://world.squirrel.link/ontology#district_03158	Wolfenbüttel	http://www.wikidata.org/entity/Q6041
3159	http://world.squirrel.link/ontology#district_03159	Göttingen	http://www.wikidata.org/entity/Q6022
3241	http://world.squirrel.link/ontology#district_03241	Region Hannover	http://www.wikidata.org/entity/Q5963
3251	http://world.squirrel.link/ontology#district_03251	Diepholz	http://www.wikidata.org/entity/Q5956
3252	http://world.squirrel.link/ontology#district_03252	Hameln-Pyrmont	http://www.wikidata.org/entity/Q5970
3254	http://world.squirrel.link/ontology#district_03254	Hildesheim	http://www.wikidata.org/entity/Q5978
3255	http://world.squirrel.link/ontology#district_03255	Holzminden	http://www.wikidata.org/entity/Q5973
3256	http://world.squirrel.link/ontology#district_03256	Nienburg/Weser	http://www.wikidata.org/entity/Q5958
3257	http://world.squirrel.link/ontology#district_03257	Schaumburg	http://www.wikidata.org/entity/Q5966
3351	http://world.squirrel.link/ontology#district_03351	Celle	http://www.wikidata.org/entity/Q5919
3352	http://world.squirrel.link/ontology#district_03352	Cuxhaven	http://www.wikidata.org/entity/Q5897
3353	http://world.squirrel.link/ontology#district_03353	Harburg	http://www.wikidata.org/entity/Q5907
3354	http://world.squirrel.link/ontology#district_03354	Lüchow-Dannenberg	http://www.wikidata.org/entity/Q5913
3355	http://world.squirrel.link/ontology#district_03355	Lüneburg	http://www.wikidata.org/entity/Q5910
3356	http://world.squirrel.link/ontology#district_03356	Osterholz	http://www.wikidata.org/entity/Q5926
3357	http://world.squirrel.link/ontology#district_03357	Rotenburg (Wümme)	http://www.wikidata.org/entity/Q5923
3358	http://world.squirrel.link/ontology#district_03358	Heidekreis	http://www.wikidata.org/entity/Q5922
3359	http://world.squirrel.link/ontology#district_03359	Stade	http://www.wikidata.org/entity/Q5906
3360	http://world.squirrel.link/ontology#district_03360	Uelzen	http://www.wikidata.org/entity/Q5915
3361	http://world.squirrel.link/ontology#district_03361	Verden	http://www.wikidata.org/entity/Q5927
3401	http://world.squirrel.link/ontology#district_03401	Delmenhorst	http://www.wikidata.org/entity/Q3907
3402	http://world.squirrel.link/ontology#district_03402	Emden	http://www.wikidata.org/entity/Q4174
3403	http://world.squirrel.link/ontology#district_03403	Oldenburg (Oldb)	http://www.wikidata.org/entity/Q2936
3404	http://world.squirrel.link/ontology#district_03404	Osnabrück	http://www.wikidata.org/entity/Q2916
3405	http://world.squirrel.link/ontology#district_03405	Wilhelmshaven	http://www.wikidata.org/entity/Q3857
3451	http://world.squirrel.link/ontology#district_03451	Ammerland	http://www.wikidata.org/entity/Q5947
3452	http://world.squirrel.link/ontology#district_03452	Aurich	http://www.wikidata.org/entity/Q5929
3453	http://world.squirrel.link/ontology#district_03453	Cloppenburg	http://www.wikidata.org/entity/Q5945
3454	http://world.squirrel.link/ontology#district_03454	Emsland	http://www.wikidata.org/entity/Q5936
3455	http://world.squirrel.link/ontology#district_03455	Friesland	http://www.wikidata.org/entity/Q5932
3456	http://world.squirrel.link/ontology#district_03456	Grafschaft Bentheim	http://www.wikidata.org/entity/Q5939
3457	http://world.squirrel.link/ontology#district_03457	Leer	http://www.wikidata.org/entity/Q5934
3458	http://world.squirrel.link/ontology#district_03458	Oldenburg	http://www.wikidata.org/entity/Q5952
3459	http://world.squirrel.link/ontology#district_03459	Osnabrück	http://www.wikidata.org/entity/Q5940
3460	http://world.squirrel.link/ontology#district_03460	Vechta	http://www.wikidata.org/entity/Q5941
3461	http://world.squirrel.link/ontology#district_03461	Wesermarsch	http://www.wikidata.org/entity/Q5948
3462	http://world.squirrel.link/ontology#district_03462	Wittmund	http://www.wikidata.org/entity/Q5931
4011	http://world.squirrel.link/ontology#district_04011	Bremen	http://www.wikidata.org/entity/Q24879
4012	http://world.squirrel.link/ontology#district_04012	Bremerhaven	http://www.wikidata.org/entity/Q2706
5111	http://world.squirrel.link/ontology#district_05111	Düsseldorf	http://www.wikidata.org/entity/Q1718
5112	http://world.squirrel.link/ontology#district_05112	Duisburg	http://www.wikidata.org/entity/Q2100
5113	http://world.squirrel.link/ontology#district_05113	Essen	http://www.wikidata.org/entity/Q2066
5114	http://world.squirrel.link/ontology#district_05114	Krefeld	http://www.wikidata.org/entity/Q2805
5116	http://world.squirrel.link/ontology#district_05116	Mönchengladbach	http://www.wikidata.org/entity/Q2758
5117	http://world.squirrel.link/ontology#district_05117	Mülheim an der Ruhr	http://www.wikidata.org/entity/Q2899
5119	http://world.squirrel.link/ontology#district_05119	Oberhausen	http://www.wikidata.org/entity/Q2838
5120	http://world.squirrel.link/ontology#district_05120	Remscheid	http://www.wikidata.org/entity/Q3097
5122	http://world.squirrel.link/ontology#district_05122	Solingen	http://www.wikidata.org/entity/Q2942
5124	http://world.squirrel.link/ontology#district_05124	Wuppertal	http://www.wikidata.org/entity/Q2107
5154	http://world.squirrel.link/ontology#district_05154	Kleve	http://www.wikidata.org/entity/Q6246
5158	http://world.squirrel.link/ontology#district_05158	Mettmann	http://www.wikidata.org/entity/Q6257
5162	http://world.squirrel.link/ontology#district_05162	Rhein-Kreis Neuss	http://www.wikidata.org/entity/Q6253
5166	http://world.squirrel.link/ontology#district_05166	Viersen	http://www.wikidata.org/entity/Q6249
5170	http://world.squirrel.link/ontology#district_05170	Wesel	http://www.wikidata.org/entity/Q6245
5314	http://world.squirrel.link/ontology#district_05314	Bonn	http://www.wikidata.org/entity/Q586
5315	http://world.squirrel.link/ontology#district_05315	Köln	http://www.wikidata.org/entity/Q365
5316	http://world.squirrel.link/ontology#district_05316	Leverkusen	http://www.wikidata.org/entity/Q2938
5334	http://world.squirrel.link/ontology#district_05334	Städteregion Aachen	http://www.wikidata.org/entity/Q6272
5358	http://world.squirrel.link/ontology#district_05358	Düren	http://www.wikidata.org/entity/Q6275
5362	http://world.squirrel.link/ontology#district_05362	Rhein-Erft-Kreis	http://www.wikidata.org/entity/Q6292
5366	http://world.squirrel.link/ontology#district_05366	Euskirchen	http://www.wikidata.org/entity/Q6280
5370	http://world.squirrel.link/ontology#district_05370	Heinsberg	http://www.wikidata.org/entity/Q6264
5374	http://world.squirrel.link/ontology#district_05374	Oberbergischer Kreis	http://www.wikidata.org/entity/Q6298
5378	http://world.squirrel.link/ontology#district_05378	Rheinisch-Bergischer Kreis	http://www.wikidata.org/entity/Q6295
5382	http://world.squirrel.link/ontology#district_05382	Rhein-Sieg-Kreis	http://www.wikidata.org/entity/Q6287
5512	http://world.squirrel.link/ontology#district_05512	Bottrop	http://www.wikidata.org/entity/Q3069
5513	http://world.squirrel.link/ontology#district_05513	Gelsenkirchen	http://www.wikidata.org/entity/Q2765
5515	http://world.squirrel.link/ontology#district_05515	Münster	http://www.wikidata.org/entity/Q2742
5554	http://world.squirrel.link/ontology#district_05554	Borken	http://www.wikidata.org/entity/Q6191
5558	http://world.squirrel.link/ontology#district_05558	Coesfeld	http://www.wikidata.org/entity/Q6210
5562	http://world.squirrel.link/ontology#district_05562	Recklinghausen	http://www.wikidata.org/entity/Q6214
5566	http://world.squirrel.link/ontology#district_05566	Steinfurt	http://www.wikidata.org/entity/Q6187
5570	http://world.squirrel.link/ontology#district_05570	Warendorf	http://www.wikidata.org/entity/Q2839
5711	http://world.squirrel.link/ontology#district_05711	Bielefeld	http://www.wikidata.org/entity/Q2112
5754	http://world.squirrel.link/ontology#district_05754	Gütersloh	http://www.wikidata.org/entity/Q6218
5758	http://world.squirrel.link/ontology#district_05758	Herford	http://www.wikidata.org/entity/Q6234
5762	http://world.squirrel.link/ontology#district_05762	Höxter	http://www.wikidata.org/entity/Q6228
5766	http://world.squirrel.link/ontology#district_05766	Lippe	http://www.wikidata.org/entity/Q6230
5770	http://world.squirrel.link/ontology#district_05770	Minden-Lübbecke	http://www.wikidata.org/entity/Q6239
5774	http://world.squirrel.link/ontology#district_05774	Paderborn	http://www.wikidata.org/entity/Q6224
5911	http://world.squirrel.link/ontology#district_05911	Bochum	http://www.wikidata.org/entity/Q2103
5913	http://world.squirrel.link/ontology#district_05913	Dortmund	http://www.wikidata.org/entity/Q1295
5914	http://world.squirrel.link/ontology#district_05914	Hagen	http://www.wikidata.org/entity/Q2871
5915	http://world.squirrel.link/ontology#district_05915	Hamm	http://www.wikidata.org/entity/Q2880
5916	http://world.squirrel.link/ontology#district_05916	Herne	http://www.wikidata.org/entity/Q2904
5954	http://world.squirrel.link/ontology#district_05954	Ennepe-Ruhr-Kreis	http://www.wikidata.org/entity/Q11280
5958	http://world.squirrel.link/ontology#district_05958	Hochsauerlandkreis	http://www.wikidata.org/entity/Q5946
5962	http://world.squirrel.link/ontology#district_05962	Märkischer Kreis	http://www.wikidata.org/entity/Q5937
5966	http://world.squirrel.link/ontology#district_05966	Olpe	http://www.wikidata.org/entity/Q5953
5970	http://world.squirrel.link/ontology#district_05970	Siegen-Wittgenstein	http://www.wikidata.org/entity/Q5982
5974	http://world.squirrel.link/ontology#district_05974	Soest	http://www.wikidata.org/entity/Q5965
5978	http://world.squirrel.link/ontology#district_05978	Unna	http://www.wikidata.org/entity/Q6163
6411	http://world.squirrel.link/ontology#district_06411	Darmstadt	http://www.wikidata.org/entity/Q2973
6412	http://world.squirrel.link/ontology#district_06412	Frankfurt am Main	http://www.wikidata.org/entity/Q1794
6413	http://world.squirrel.link/ontology#district_06413	Offenbach am Main	http://www.wikidata.org/entity/Q3042
6414	http://world.squirrel.link/ontology#district_06414	Wiesbaden	http://www.wikidata.org/entity/Q1721
6431	http://world.squirrel.link/ontology#district_06431	Bergstraße	http://www.wikidata.org/entity/Q7917
6432	http://world.squirrel.link/ontology#district_06432	Darmstadt-Dieburg	http://www.wikidata.org/entity/Q7916
6433	http://world.squirrel.link/ontology#district_06433	Groß-Gerau	http://www.wikidata.org/entity/Q7914
6434	http://world.squirrel.link/ontology#district_06434	Hochtaunuskreis	http://www.wikidata.org/entity/Q7908
6435	http://world.squirrel.link/ontology#district_06435	Main-Kinzig-Kreis	http://www.wikidata.org/entity/Q7911
6436	http://world.squirrel.link/ontology#district_06436	Main-Taunus-Kreis	http://www.wikidata.org/entity/Q7909
6437	http://world.squirrel.link/ontology#district_06437	Odenwaldkreis	http://www.wikidata.org/entity/Q7919
6438	http://world.squirrel.link/ontology#district_06438	Offenbach	http://www.wikidata.org/entity/Q7912
6439	http://world.squirrel.link/ontology#district_06439	Rheingau-Taunus-Kreis	http://www.wikidata.org/entity/Q7907
6440	http://world.squirrel.link/ontology#district_06440	Wetteraukreis	http://www.wikidata.org/entity/Q7910
6531	http://world.squirrel.link/ontology#district_06531	Gießen	http://www.wikidata.org/entity/Q7904
6532	http://world.squirrel.link/ontology#district_06532	Lahn-Dill-Kreis	http://www.wikidata.org/entity/Q7905
6533	http://world.squirrel.link/ontology#district_06533	Limburg-Weilburg	http://www.wikidata.org/entity/Q7906
6534	http://world.squirrel.link/ontology#district_06534	Marburg-Biedenkopf	http://www.wikidata.org/entity/Q7902
6535	http://world.squirrel.link/ontology#district_06535	Vogelsbergkreis	http://www.wikidata.org/entity/Q7901
6611	http://world.squirrel.link/ontology#district_06611	Kassel	http://www.wikidata.org/entity/Q2865
6631	http://world.squirrel.link/ontology#district_06631	Fulda	http://www.wikidata.org/entity/Q7899
6632	http://world.squirrel.link/ontology#district_06632	Hersfeld-Rotenburg	http://www.wikidata.org/entity/Q7898
6633	http://world.squirrel.link/ontology#district_06633	Kassel	http://www.wikidata.org/entity/Q7890
6634	http://world.squirrel.link/ontology#district_06634	Schwalm-Eder-Kreis	http://www.wikidata.org/entity/Q7894
6635	http://world.squirrel.link/ontology#district_06635	Waldeck-Frankenberg	http://www.wikidata.org/entity/Q7893
6636	http://world.squirrel.link/ontology#district_06636	Werra-Meißner-Kreis	http://www.wikidata.org/entity/Q7896
7111	http://world.squirrel.link/ontology#district_07111	Koblenz	http://www.wikidata.org/entity/Q3104
7131	http://world.squirrel.link/ontology#district_07131	Ahrweiler	http://www.wikidata.org/entity/Q8596
7132	http://world.squirrel.link/ontology#district_07132	Altenkirchen (Westerwald)	http://www.wikidata.org/entity/Q8608
7133	http://world.squirrel.link/ontology#district_07133	Bad Kreuznach	http://www.wikidata.org/entity/Q8572
7134	http://world.squirrel.link/ontology#district_07134	Birkenfeld	http://www.wikidata.org/entity/Q8575
7135	http://world.squirrel.link/ontology#district_07135	Cochem-Zell	http://www.wikidata.org/entity/Q8590
7137	http://world.squirrel.link/ontology#district_07137	Mayen-Koblenz	http://www.wikidata.org/entity/Q8593
7138	http://world.squirrel.link/ontology#district_07138	Neuwied	http://www.wikidata.org/entity/Q8606
7140	http://world.squirrel.link/ontology#district_07140	Rhein-Hunsrück-Kreis	http://www.wikidata.org/entity/Q8574
7141	http://world.squirrel.link/ontology#district_07141	Rhein-Lahn-Kreis	http://www.wikidata.org/entity/Q8601
7143	http://world.squirrel.link/ontology#district_07143	Westerwaldkreis	http://www.wikidata.org/entity/Q8602
7211	http://world.squirrel.link/ontology#district_07211	Trier	http://www.wikidata.org/entity/Q3138
7231	http://world.squirrel.link/ontology#district_07231	Bernkastel-Wittlich	http://www.wikidata.org/entity/Q8585
7232	http://world.squirrel.link/ontology#district_07232	Eifelkreis Bitburg-Prüm	http://www.wikidata.org/entity/Q8580
7233	http://world.squirrel.link/ontology#district_07233	Vulkaneifel	http://www.wikidata.org/entity/Q8583
7235	http://world.squirrel.link/ontology#district_07235	Trier-Saarburg	http://www.wikidata.org/entity/Q8579
7311	http://world.squirrel.link/ontology#district_07311	Frankenthal (Pfalz)	http://www.wikidata.org/entity/Q6905
7312	http://world.squirrel.link/ontology#district_07312	Kaiserslautern	http://www.wikidata.org/entity/Q3758
7313	http://world.squirrel.link/ontology#district_07313	Landau in der Pfalz	http://www.wikidata.org/entity/Q7052
7314	http://world.squirrel.link/ontology#district_07314	Ludwigshafen am Rhein	http://www.wikidata.org/entity/Q2910
7315	http://world.squirrel.link/ontology#district_07315	Mainz	http://www.wikidata.org/entity/Q1720
7316	http://world.squirrel.link/ontology#district_07316	Neustadt an der Weinstraße	http://www.wikidata.org/entity/Q4149
7317	http://world.squirrel.link/ontology#district_07317	Pirmasens	http://www.wikidata.org/entity/Q14849
7318	http://world.squirrel.link/ontology#district_07318	Speyer	http://www.wikidata.org/entity/Q6829
7319	http://world.squirrel.link/ontology#district_07319	Worms	http://www.wikidata.org/entity/Q3852
7320	http://world.squirrel.link/ontology#district_07320	Zweibrücken	http://www.wikidata.org/entity/Q16017
7331	http://world.squirrel.link/ontology#district_07331	Alzey-Worms	http://www.wikidata.org/entity/Q8566
7332	http://world.squirrel.link/ontology#district_07332	Bad Dürkheim	http://www.wikidata.org/entity/Q8557
7333	http://world.squirrel.link/ontology#district_07333	Donnersbergkreis	http://www.wikidata.org/entity/Q8564
7334	http://world.squirrel.link/ontology#district_07334	Germersheim	http://www.wikidata.org/entity/Q8543
7335	http://world.squirrel.link/ontology#district_07335	Kaiserslautern	http://www.wikidata.org/entity/Q8559
7336	http://world.squirrel.link/ontology#district_07336	Kusel	http://www.wikidata.org/entity/Q8562
7337	http://world.squirrel.link/ontology#district_07337	Südliche Weinstraße	http://www.wikidata.org/entity/Q8551
7338	http://world.squirrel.link/ontology#district_07338	Rhein-Pfalz-Kreis	http://www.wikidata.org/entity/Q8554
7339	http://world.squirrel.link/ontology#district_07339	Mainz-Bingen	http://www.wikidata.org/entity/Q8569
7340	http://world.squirrel.link/ontology#district_07340	Südwestpfalz	http://www.wikidata.org/entity/Q8552
8111	http://world.squirrel.link/ontology#district_08111	Stuttgart	http://www.wikidata.org/entity/Q1022
8115	http://world.squirrel.link/ontology#district_08115	Böblingen	http://www.wikidata.org/entity/Q8536
8116	http://world.squirrel.link/ontology#district_08116	Esslingen	http://www.wikidata.org/entity/Q8533
8117	http://world.squirrel.link/ontology#district_08117	Göppingen	http://www.wikidata.org/entity/Q8525
8118	http://world.squirrel.link/ontology#district_08118	Ludwigsburg	http://www.wikidata.org/entity/Q8541
8119	http://world.squirrel.link/ontology#district_08119	Rems-Murr-Kreis	http://www.wikidata.org/entity/Q8528
8121	http://world.squirrel.link/ontology#district_08121	Heilbronn	http://www.wikidata.org/entity/Q715
8125	http://world.squirrel.link/ontology#district_08125	Heilbronn	http://www.wikidata.org/entity/Q7166
8126	http://world.squirrel.link/ontology#district_08126	Hohenlohekreis	http://www.wikidata.org/entity/Q8518
8127	http://world.squirrel.link/ontology#district_08127	Schwäbisch Hall	http://www.wikidata.org/entity/Q8520
8128	http://world.squirrel.link/ontology#district_08128	Main-Tauber-Kreis	http://www.wikidata.org/entity/Q8517
8135	http://world.squirrel.link/ontology#district_08135	Heidenheim	http://www.wikidata.org/entity/Q8523
8136	http://world.squirrel.link/ontology#district_08136	Ostalbkreis	http://www.wikidata.org/entity/Q8522
8211	http://world.squirrel.link/ontology#district_08211	Baden-Baden	http://www.wikidata.org/entity/Q4100
8212	http://world.squirrel.link/ontology#district_08212	Karlsruhe	http://www.wikidata.org/entity/Q1040
8215	http://world.squirrel.link/ontology#district_08215	Karlsruhe	http://www.wikidata.org/entity/Q8178
8216	http://world.squirrel.link/ontology#district_08216	Rastatt	http://www.wikidata.org/entity/Q8182
8221	http://world.squirrel.link/ontology#district_08221	Heidelberg	http://www.wikidata.org/entity/Q2966
8222	http://world.squirrel.link/ontology#district_08222	Mannheim	http://www.wikidata.org/entity/Q2119
8225	http://world.squirrel.link/ontology#district_08225	Neckar-Odenwald-Kreis	http://www.wikidata.org/entity/Q8174
8226	http://world.squirrel.link/ontology#district_08226	Rhein-Neckar-Kreis	http://www.wikidata.org/entity/Q8177
8231	http://world.squirrel.link/ontology#district_08231	Pforzheim	http://www.wikidata.org/entity/Q3046
8235	http://world.squirrel.link/ontology#district_08235	Calw	http://www.wikidata.org/entity/Q8186
